feature,abs_d_bar,abs_gamma,spearman_rho
NetEquityFinance,0.120462401585015,0.0010380471971305695,0.4451560316721007
NetPayoutYield,0.1080769919402014,0.011809793182598132,0.4451560316721007
OPLeverage,0.0398143844762411,0.005347476045752048,0.4451560316721007
PctAcc,0.0133194918121425,0.005507962216011392,0.4451560316721007
PctTotAcc,0.039529782199018,0.003962140145308855,0.4451560316721007
Price,0.3419758853827487,0.019461245522114663,0.4451560316721007
PriceDelayRsq,0.2801068656495539,0.003015680819381428,0.4451560316721007
RD,0.1017447828914964,0.005825226699757043,0.4451560316721007
RDS,0.1734969394579124,0.0035831769225837112,0.4451560316721007
REV6,0.0170554123099396,0.010347404054814545,0.4451560316721007
RealizedVol,0.0802432062304628,0.00891808476208441,0.4451560316721007
ResidualMomentum,0.0090041059751973,0.001563927682683587,0.4451560316721007
ReturnSkew,0.0195806559415791,0.00911142561372879,0.4451560316721007
ReturnSkew3F,0.0139805992182767,0.003849041404891358,0.4451560316721007
RevenueSurprise,0.0179693959132105,0.006095752060894445,0.4451560316721007
RoE,0.1707766071556489,0.009535706227553743,0.4451560316721007
STreversal,0.0333808520364692,0.03927744998912751,0.4451560316721007
ShareIss1Y,0.0525486137100885,0.006767073147949951,0.4451560316721007
ShareIss5Y,0.0599804623168452,0.012482406726785786,0.4451560316721007
Size,0.4207988784052768,0.018621947708038093,0.4451560316721007
Tax,0.0941171769289822,0.010528249660750631,0.4451560316721007
TotalAccruals,0.0505623686464783,0.004362212579151847,0.4451560316721007
TrendFactor,0.0086796840427641,0.01437857818754219,0.4451560316721007
VolSD,0.3868163214931477,0.022190110071112535,0.4451560316721007
XFIN,0.0843386508639213,0.009519472692840213,0.4451560316721007
betaVIX,0.0089402172765593,9.245981494715e-05,0.4451560316721007
cfp,0.0351533088942577,0.0071330315481106,0.4451560316721007
dNoa,0.0553775362706176,0.0062908644676011255,0.4451560316721007
grcapx,0.0530969622105112,0.0031465124930328938,0.4451560316721007
grcapx3y,0.0796460863414312,0.013198844875278582,0.4451560316721007
hire,0.0667840124524138,0.002456411926205438,0.4451560316721007
roaq,0.1770061633323378,0.018518675302931397,0.4451560316721007
std_turn,0.2299347700151428,0.031813660077040055,0.4451560316721007
zerotrade12M,0.249319823668949,0.03088430209190721,0.4451560316721007
zerotrade1M,0.2392249109291684,0.005716723628214522,0.4451560316721007
zerotrade6M,0.2465238224247732,0.005878257759874414,0.4451560316721007
